,[soyisim]
1090,ÖZCAN
1091,DEMİR
1092,ŞAHİN DUYAR
1093,ERGÖZ
1094,KAYNAK
1095,TÜTEN
1096,DADLI
1097,İPLİKÇİ
1098,ÇEPNİ
1099,KILINÇ
1100,ALPINAR
1101,ÖZCANLI
1102,BOLATTÜRK
1103,BAKLALI
1104,CORUT
1105,SOYDAN
1106,KOCABIYIK
1107,EMLAKÇIOĞLU
1108,RENÇBER
1109,HIDIROĞLU
1110,PEKTAŞ
1111,YEŞİLKAYA
1112,TÜFEKÇİ
1113,ALIMLI
1114,KOR
1115,KARACAN 
1116,HEPKAYA
1117,ÇEÇEN
1118,ŞANLIKAN
1119,ABAT
1120,ALTIN
1121,COŞKUN
1122,AYAZ
1123,BAHÇEBAŞI
1124,BAYAR
1125,KIRASLAN
1126,TOHUMOĞLU
1127,KARAMEŞE
1128,SARAÇOĞLU
1129,TUTAŞ
1130,ÖZEKLİ MISIRLIOĞLU
1131,ALKIŞ
1132,ÖZMUK
1133,ŞENGÜL
1134,YİĞİT
1135,BOSTANKOLU
1136,KINDIR
1137,ALKURT KAYIKÇI
1138,GÖZAÇAN
1139,TURGUT
1140,KANIK YÜKSEK
1141,CANDANER
1142,SİVRİ
1143,ŞAHBAZ
1144,BÜYÜKCERAN
1145,ÖNDER SİVİŞ
1146,TOY
1147,YARAR
1148,POSTALLI
1149,BAŞKAK
1150,ÜRÜN
1151,ARAS
1152,ATBAŞ
1153,KESİM
1154,ALTAŞ
1155,ÇINARLIK
1156,BAŞMAN
1157,DEMİREL
1158,GİNİŞ
1159,KARAKAŞ
1160,SARP
1161,METE
1162,KARAMANLI
1163,CANİK
1164,ERZURUM
1165,BARATALI
1166,ASENA
1167,ALMACIOĞLU
1168,YEGİN
1169,İMALI
1170,TÜFENK
1171,BİNBOĞA
1172,CANPOLAT
1173,YÜREK
1174,KARDAŞ
1175,BOZKURT
1176,SÖYLEMEZ
1177,EKEN
1178,AKTUĞ
1179,DEMİRER
1180,ÜZÜM
1181,YAŞİT
1182,GÖKTEN
1183,SU KURT
1184,NART
1185,TEMİZ
1186,SALTÜRK
1187,SUSAM
1188,AYTAÇ
1189,AKASLAN
1190,ERYILMAZ
1191,ERDAL
1192,GÜL
1193,İRİS
1194,CANBOLAT
1195,YILDIZOĞLU
1196,ULAŞ
1197,AKGÜL
1198,HASSAN
1199,GÖRDÜK
1200,OLCAR
1201,ÖZÜDOĞRU
1202,BİCAN
1203,AYDOS
1204,YARBİL
1205,YAĞAN
1206,KIRHAN
1207,CANDAN
1208,TÜRKDOĞAN
1209,ÖZEK
1210,EKİZ
1211,SEVEN
1212,KARAKUŞ
1213,ERAT
1214,PEKDOĞAN
1215,AŞIK
1216,GÜLEÇ
1217,KÜTÜK
1218,KARABAĞ
1219,ÇAĞIL
1220,BAYANA
1221,SEZGİN
1222,LAĞARLI
1223,AYRANCI
1224,ELBÜKEN
1225,ERGÜN
1226,ARSLANOĞLU
1227,SEÇKİN
1228,MENTEŞ
1229,SAVRAN
1230,OĞUZSOY
1231,PARA
1232,MELEKOĞLU
1233,BAGLARS
1234,YARDIMCI
1235,AKMAN
1236,YENİLMEZ
1237,SADUNOĞLU
1238,TÜREMENOĞULLARI
1239,BABADAĞI
1240,ARGON
1241,GİDER
1242,ALAN
1243,SÜL
1244,URFALI
1245,ÜRKMEZ
1246,UTLU
1247,TOLU
1248,KAYKI
1249,SAYİNER
1250,EŞME
1251,KORKMAZ
